id,quadrant
catechizing,2
greenhouses,3
complainers,3
persecuting,3
inheritance,3
secondarily,1
splattering,3
poinsettias,3
flycatchers,3
admonishing,3
highlighter,3
resourceful,2
titillation,3
cappuccinos,4
negotiating,3
bamboozling,3
impregnated,4
vouchsafing,3
ringleaders,3
jeopardizes,3
mouthwashes,3
brahmanisms,1
untimeliest,4
mimeographs,1
instituting,3
supervising,1
initialling,3
prematurely,3
uncivilized,3
comportment,3
probationer,1
medications,1
extemporize,3
internement,1
chirrupping,3
bookmobiles,1
pointillist,3
unfastening,4
inseminated,3
expatiating,3
suitability,3
bartholomew,1
deprivation,1
juggernauts,1
frequentest,1
megalopolis,4
maintainers,1
resemblance,3
lawbreakers,3
celebratory,3
chlorinates,3
subbasement,3
agonizingly,3
refinishing,1
adirondacks,3
explicating,1
calibrators,3
demobilizes,1
desensitize,3
uninhibited,3
radiologist,3
intensified,1
maintenance,3
floatations,3
delinquents,3
caricatures,2
retrenching,1
remonstrate,4
treacherous,4
colonoscopy,3
herculaneum,3
chinchillas,3
cooperating,4
pincushions,3
undershirts,3
disbelieves,1
agglutinate,4
homesteaded,3
cockroaches,3
circumcised,3
indentation,3
gallbladder,3
malefactors,1
revoltingly,4
reoccurring,1
grouchiness,3
intricacies,3
secretively,3
acupuncture,3
belligerent,3
smatterings,3
preparation,3
renegotiate,3
protagonist,3
shapeliness,4
prioritized,3
drastically,3
declensions,3
fraternizes,3
preshrunken,3
spacewalked,1
arbitrators,3
unrehearsed,1
unfavorable,3
demosthenes,1
computerize,4
houseplants,3
corporation,3
subdividing,3
handcuffing,3
modernizing,3
licentiates,3
hallucinate,1
halleluiahs,4
supersizing,1
disentangle,4
sidestrokes,3
indulgences,1
baryshnikov,2
policewomen,1
decrescendo,3
appearances,3
grandstands,3
earnestness,3
currycombed,3
catafalques,3
thesauruses,3
deprogramed,3
turtledoves,3
prosceniums,3
breadwinner,3
subtotalled,1
syllabifies,1
stewardship,4
superscript,3
pejoratives,3
telescoping,3
apatosaurus,3
acclimating,3
stripteased,3
biographies,1
pocketknife,1
connectives,1
supertanker,2
hilariously,1
fornicating,4
firecracker,3
tracheotomy,3
equestrians,2
cloverleafs,1
intonations,4
sequestered,3
caffeinated,3
cheerlessly,3
conjunctive,1
farinaceous,3
decremented,3
regrettably,1
accustoming,3
universally,3
podiatrists,3
conclusions,3
charismatic,3
corrections,3
predestined,3
routinizing,3
spokeswoman,3
obviousness,3
calendaring,3
caterpillar,3
raspberries,3
diametrical,3
advertising,3
uncleanness,3
exhibitions,3
electrolyte,3
overflowing,3
revocations,3
preferences,1
signposting,3
shipbuilder,4
backlogging,3
retardation,3
participles,3
asphyxiated,3
compartment,3
complaisant,3
beiderbecke,3
transformer,2
noticeboard,3
redirecting,3
approaching,3
telemetries,1
louisianans,1
nymphomania,1
extensional,1
dissembling,1
goaltenders,1
extenuating,4
aristocrats,1
syndicating,3
constrictor,4
paraplegics,1
miscounting,3
modulations,1
thenceforth,3
burlesquing,1
reverencing,3
inalienable,1
lightninged,1
constipates,3
dichotomies,3
kneecapping,3
missourians,1
carcinomata,4
exclusivity,3
hygrometers,3
underpinned,3
infuriating,3
enfranchise,3
refutations,3
complacence,1
paleolithic,1
stairmaster,1
hellenistic,3
perpetrator,2
perpetually,3
footbridges,3
sedimentary,3
disposition,1
defensively,3
overwriting,3
cowpunchers,3
ineluctable,3
overpowered,4
schenectady,1
offhandedly,1
colonialism,1
secretarial,1
uncertainty,1
bournemouth,3
arraignment,3
elaboration,1
interchange,3
buttonholed,2
retractions,1
wellsprings,1
ricocheting,1
rhapsodized,3
hyphenation,4
interaction,3
treacheries,3
reformatory,3
hyperlinked,3
carolingian,4
whitsundays,3
hemstitched,3
irregularly,3
anchorwoman,1
wealthiness,1
adversities,1
archaeology,2
fluoridated,4
surrealists,3
sufficiency,2
airsickness,3
impersonate,3
hagiographa,4
blankenship,3
excoriation,3
deescalates,1
coagulation,1
middlebrows,3
androgynous,3
calligraphy,3
murderously,1
cultivators,2
impenitence,3
disencumber,1
tentatively,4
screenshots,3
transceiver,3
flexibility,4
overindulge,3
politicians,3
knucklehead,1
symmetrical,1
inebriation,3
appositives,3
reorganizes,3
informative,3
unthinkable,1
bombardiers,3
refrigerate,1
resignation,1
retaliation,3
paraphrases,4
kingfishers,4
masterpiece,3
annexations,1
brandenburg,1
granulating,3
attenuating,3
underground,3
gentrifying,3
unflinching,1
spontaneous,4
statehouses,3
headhunters,3
interrelate,1
homogeneity,3
evasiveness,3
pamphleteer,2
nonchalance,4
downplaying,3
magnanimity,3
troposphere,3
assiduously,3
procreation,3
prototyping,3
baptistries,3
contributes,1
inclusively,1
protractors,3
lengthening,3
electrified,3
goldbricked,3
booksellers,3
distressing,1
submergence,1
indefinable,1
foreseeable,3
remaindered,1
vaccination,1
postmortems,3
barbiturate,4
liquidators,1
countenance,3
offensively,3
ultrasounds,3
nationality,3
chrysalides,2
transported,4
recitatives,3
subheadings,3
interlopers,1
astronomers,3
ignominious,3
terrestrial,3
predicative,3
westernized,3
hemophiliac,1
battlefield,4
quarrelsome,4
connoisseur,3
disheveling,1
contrasting,3
acclimation,3
austerities,3
maltreating,3
manipulated,3
enumeration,1
pinfeathers,1
profanation,3
anesthetist,3
motorbiking,3
concurrence,3
bridgeheads,3
coordinator,3
diversifies,4
decelerates,1
accumulated,3
translation,1
immigrating,1
typewriters,3
overwhelmed,1
chattanooga,3
manifolding,3
exorbitance,4
montesquieu,3
antichrists,3
semiprivate,3
overbooking,3
hemorrhaged,3
overcharged,3
perorations,4
bloodstains,3
importunity,3
mountebanks,1
chlorophyll,1
undefinable,1
constructed,3
dressmaking,3
bowdlerized,3
nervelessly,4
erroneously,4
preexisting,4
intoxicated,3
rapaciously,1
whorehouses,3
wheresoever,3
reinstalled,3
inhabitants,3
ingratiates,2
defenseless,1
landsteiner,3
overstating,1
unequivocal,3
bureaucracy,1
merchantmen,3
stripteases,3
plagiarisms,3
impositions,3
engendering,1
masturbates,3
mountbatten,3
meteorology,1
teotihuacan,3
subjugation,3
dauntlessly,1
shallowness,3
enchantment,3
vanquishing,3
sandblasted,1
disoriented,3
refrigerant,3
transducers,4
unsaturated,3
accompanist,3
premonition,3
schoolbooks,3
candelabrum,1
whereabouts,3
wineglasses,2
unbreakable,1
chaotically,3
megaphoning,3
shuttlecock,3
pericardium,3
playgrounds,2
sculpturing,4
summerhouse,2
trivializes,3
subprograms,3
parenthesis,3
refinancing,3
inequitable,3
orthopedics,3
electronics,1
confections,3
mendelssohn,3
humiliating,3
detrimental,1
resubmitted,2
condolences,3
concavities,3
penitential,3
providences,3
tutankhamen,3
aftereffect,3
squandering,3
excessively,1
depressives,3
sandpapered,3
resolutions,3
turbulently,1
disorganize,3
swallowtail,1
detachments,3
submersible,3
singularity,1
recidivists,3
inescapable,1
homecomings,3
inescapably,3
hypocrisies,3
interrupted,2
fabricating,3
unutterable,1
salesclerks,3
abusiveness,1
selfishness,3
stepladders,3
negligently,3
lallygagged,3
respiration,1
infestation,1
propinquity,3
indirection,3
allegorical,3
undershorts,3
backhanding,3
matchsticks,3
tautologies,2
sovereignty,3
springiness,2
gymnosperms,3
prerogative,3
extenuation,1
helicopters,3
unhealthier,1
eligibility,1
sweatshirts,4
ingratitude,3
pisistratus,3
displeasing,3
luxuriously,3
incantation,3
centerfolds,1
repossesses,3
provisioned,1
sympathized,1
inestimable,3
unburdening,3
disinclines,4
congressmen,3
fundamental,1
prestigious,1
surfboarded,3
franchisers,3
sandblaster,3
solidifying,3
furthermore,3
atrociously,3
maneuvering,3
percolating,3
masticating,1
equivalents,3
officialdom,3
executrixes,4
hydrophobia,3
cloudbursts,1
corresponds,3
